shop,name,url,price,score,trading,review
张小泉思优普专卖店,张小泉菜刀 家用不锈钢厨房刀具切片刀切菜刀切肉刀免磨开刃包邮,https://detail.tmall.com/item.htm?id=37351519906&skuId=3114177585970&user_id=1848910522&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,69.00,42992.0,8496笔,2.6万
天猫超市,【天猫超市】张小泉居家日用厨房刀具民用菜刀切片刀切肉不锈钢,https://detail.tmall.com/item.htm?id=17579524635&skuId=68120168556&user_id=725677994&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,49.00,9156.0,3328笔,2500
悠达家居专营店,十八子作菜刀不锈钢厨房刀具 阳江厨刀斩骨切菜刀家用切片刀正品,https://detail.tmall.com/item.htm?id=35859056428&skuId=3202011210248&user_id=1831429802&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,41.00,52902.0,5951笔,4.1万
十八子作官方旗舰店,十八子作 厨房菜刀具套装 家用切片刀砍骨刀组合 雀开屏2件套,https://detail.tmall.com/item.htm?id=537028500512&skuId=3422535498815&user_id=1625288681&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,198.00,3344.0,993笔,1358
铁匠世家旗舰店,铁匠世家切菜刀 厨师专业专用切片刀手工锻打厨房不锈钢厨刀刀具,https://detail.tmall.com/item.htm?id=534448158375&skuId=4611686552875546279&user_id=2067034612&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,139.00,2481.0,821笔,839
张小泉官方旗舰店,张小泉全套豪享刀具套装不锈钢厨房套刀七件套菜刀套装DC0168包邮,https://detail.tmall.com/item.htm?id=15602789801&skuId=51397955522&user_id=684978371&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,189.00,14975.0,2595笔,9785
龙之艺旗舰店,龙之艺菜刀家用手工锻打不锈钢刀具德厨房切菜刀锋利切片刀国厨刀,https://detail.tmall.com/item.htm?id=40502857659&skuId=3107729409179&user_id=2157875399&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,25.00,69000.0,1.2万笔,4.5万
双立人飞鱼秀专卖店,德国双立人刀具中片刀多用刀2件套装厨房家用不锈钢菜刀切熟食刀,https://detail.tmall.com/item.htm?id=19873176868&skuId=3195140622134&user_id=661205023&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,328.00,7768.0,1139笔,5490
苏泊尔汇田专卖店,苏泊尔不锈钢刀具套装 厨房套刀全套菜刀组合切片刀砍骨刀七件套,https://detail.tmall.com/item.htm?id=521455206769&skuId=3219074444443&user_id=815034968&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,229.00,6949.0,1790笔,3369
锐帝斯旗舰店,锐帝斯波浪刀 狼牙土豆刀 不锈钢切薯条波浪刀 波纹料理切丝菜刀,https://detail.tmall.com/item.htm?id=534706324637&skuId=3190687570507&user_id=2373998650&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,32.00,4984.0,1855笔,1274
